Bước,ue0_x,ue0_y,ue0_huong,ue0_BS_ketnoi,ue0_prx_hientai,ue0_speed,ue0_speed_eff,ue0_handover,ue0_handover_to_type
0,7012.3,6472.6,1,42,-52.4,44.46,44.46,0,0
1,7049.3,6472.6,1,42,-59.3,44.46,44.46,0,0
2,7012.3,6472.6,1,42,-55.9,44.46,44.46,0,0
3,7012.3,6509.6,1,42,-54,44.46,44.46,0,0
4,7049.3,6509.6,1,42,-59.2,44.46,44.46,0,0
5,7049.3,6472.6,1,42,-46.9,44.46,44.46,0,0
6,7049.3,6435.5,1,42,-49.3,44.46,44.46,0,0
7,7086.4,6435.5,1,42,-57.3,44.46,44.46,0,0
8,7086.4,6398.5,1,42,-49.2,44.46,44.46,0,0
9,7086.4,6435.5,1,42,-53,44.46,44.46,0,0
10,7086.4,6472.6,1,42,-58.2,44.46,44.46,0,0
11,7123.4,6472.6,1,42,-58.4,44.46,44.46,0,0
12,7086.4,6472.6,1,42,-57.9,44.46,44.46,0,0
13,7086.4,6435.5,1,42,-51.9,44.46,44.46,0,0
14,7086.4,6398.5,1,42,-49.4,44.46,44.46,0,0
15,7086.4,6435.5,1,42,-60,44.46,44.46,0,0
16,7086.4,6472.6,1,42,-59.7,44.46,44.46,0,0
17,7049.3,6472.6,1,42,-63.4,44.46,44.46,0,0
18,7049.3,6435.5,1,42,-52.2,44.46,44.46,0,0
19,7012.3,6435.5,1,42,-47.9,44.46,44.46,0,0
20,7012.3,6472.6,1,37,-52.2,44.46,44.46,1,1
21,7012.3,6509.6,1,37,-54,44.46,44.46,0,0
22,7012.3,6546.7,1,37,-56.7,44.46,44.46,0,0
23,7012.3,6509.6,1,37,-53.1,44.46,44.46,0,0
24,7012.3,6472.6,1,37,-59.3,44.46,44.46,0,0
25,6975.2,6472.6,1,42,-53.1,44.46,44.46,1,1
26,6938.2,6472.6,1,42,-56.8,44.46,44.46,0,0
27,6901.1,6472.6,1,42,-60.3,44.46,44.46,0,0
28,6901.1,6509.6,1,37,-52.5,44.46,44.46,1,1
29,6901.1,6546.7,1,37,-52.5,44.46,44.46,0,0
30,6901.1,6509.6,1,37,-47.2,44.46,44.46,0,0
31,6938.2,6509.6,1,37,-56.8,44.46,44.46,0,0
32,6975.2,6509.6,1,42,-60.4,44.46,44.46,1,1
33,6975.2,6472.6,1,42,-52.4,44.46,44.46,0,0
34,6975.2,6435.5,1,42,-47.9,44.46,44.46,0,0
35,6975.2,6398.5,1,42,-43.3,44.46,44.46,0,0
36,6975.2,6361.4,1,42,-51.1,44.46,44.46,0,0
37,7012.3,6361.4,1,42,-52.9,44.46,44.46,0,0
38,7012.3,6398.5,1,42,-50.6,44.46,44.46,0,0
39,6975.2,6398.5,1,42,-58.9,44.46,44.46,0,0
40,6975.2,6361.4,1,42,-51,44.46,44.46,0,0
41,7012.3,6361.4,1,42,-52.5,44.46,44.46,0,0
42,7049.3,6361.4,1,42,-55.8,44.46,44.46,0,0
43,7086.4,6361.4,1,42,-57.5,44.46,44.46,0,0
44,7049.3,6361.4,1,42,-56.2,44.46,44.46,0,0
45,7049.3,6324.4,1,42,-46.7,44.46,44.46,0,0
46,7049.3,6287.3,1,42,-55.8,44.46,44.46,0,0
47,7012.3,6287.3,1,42,-46.9,44.46,44.46,0,0
48,6975.2,6287.3,1,42,-51,44.46,44.46,0,0
